date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
06/01/26,18:56:54,Tuesday,18,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,19:12:05,Tuesday,19,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,19:27:17,Tuesday,19,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,19:42:30,Tuesday,19,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,19:57:41,Tuesday,19,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,20:12:52,Tuesday,20,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,20:28:03,Tuesday,20,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,20:43:16,Tuesday,20,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,20:58:27,Tuesday,20,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,21:13:39,Tuesday,21,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,21:28:51,Tuesday,21,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,21:44:04,Tuesday,21,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,21:59:15,Tuesday,21,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,22:14:29,Tuesday,22,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,22:29:40,Tuesday,22,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,22:44:52,Tuesday,22,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,23:00:04,Tuesday,23,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,23:15:15,Tuesday,23,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,23:30:28,Tuesday,23,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,23:45:41,Tuesday,23,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,00:00:53,Wednesday,0,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,00:16:04,Wednesday,0,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,00:31:15,Wednesday,0,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,00:46:27,Wednesday,0,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,01:01:38,Wednesday,1,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,01:16:50,Wednesday,1,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,01:32:02,Wednesday,1,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,01:47:13,Wednesday,1,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,02:02:24,Wednesday,2,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,02:17:36,Wednesday,2,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,02:32:47,Wednesday,2,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,02:47:59,Wednesday,2,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,03:03:10,Wednesday,3,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,03:18:21,Wednesday,3,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,03:33:32,Wednesday,3,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,03:48:44,Wednesday,3,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,04:03:55,Wednesday,4,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,04:19:07,Wednesday,4,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,04:34:18,Wednesday,4,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,04:49:30,Wednesday,4,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,05:04:43,Wednesday,5,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,05:19:54,Wednesday,5,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,05:35:06,Wednesday,5,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,05:50:18,Wednesday,5,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,06:05:31,Wednesday,6,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,06:20:43,Wednesday,6,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,06:35:54,Wednesday,6,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,06:51:06,Wednesday,6,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,07:06:18,Wednesday,7,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,07:21:30,Wednesday,7,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,07:36:41,Wednesday,7,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,07:51:53,Wednesday,7,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,08:07:06,Wednesday,8,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,08:22:17,Wednesday,8,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,08:37:29,Wednesday,8,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,08:52:40,Wednesday,8,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,09:07:53,Wednesday,9,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,09:23:04,Wednesday,9,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,09:38:15,Wednesday,9,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,09:53:27,Wednesday,9,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,10:08:40,Wednesday,10,0,0,1,3,1,1,1,1,1,1,1,1
